Personality,agentType,nrPlayers,nrCrazyInvestors,nrHighRollerInvestors,nrNormalInvestors,nrSafeBetterInvestors,nrCrazyManagers,nrHighRollerManagers,nrNormalManagers,nrSafeBetterManagers,nrCompanies,nrBlueCompanies,nrGreenCompanies,nrYellowCompanies,nrRedCompanies,finalCapital,winner
SafeBetter,investor,6,0,0,1,2,1,1,1,0,7,0,3,1,3,265,false
SafeBetter,investor,6,0,0,1,2,1,1,1,0,7,0,3,1,3,395,true
Normal,investor,6,0,0,1,2,1,1,1,0,7,0,3,1,3,355,false
HighRoller,manager,6,0,0,1,2,1,1,1,0,7,0,3,1,3,825,true
Normal,manager,6,0,0,1,2,1,1,1,0,7,0,3,1,3,525,false
Crazy,manager,6,0,0,1,2,1,1,1,0,7,0,3,1,3,525,false
Crazy,investor,6,2,0,1,0,1,1,0,1,7,2,1,2,2,350,false
Normal,investor,6,2,0,1,0,1,1,0,1,7,2,1,2,2,560,true
Crazy,investor,6,2,0,1,0,1,1,0,1,7,2,1,2,2,335,false
SafeBetter,manager,6,2,0,1,0,1,1,0,1,7,2,1,2,2,415,false
HighRoller,manager,6,2,0,1,0,1,1,0,1,7,2,1,2,2,790,true
Crazy,manager,6,2,0,1,0,1,1,0,1,7,2,1,2,2,490,false
HighRoller,investor,6,1,2,0,0,0,1,1,1,9,3,3,2,1,150,true
HighRoller,investor,6,1,2,0,0,0,1,1,1,9,3,3,2,1,105,false
Crazy,investor,6,1,2,0,0,0,1,1,1,9,3,3,2,1,120,false
SafeBetter,manager,6,1,2,0,0,0,1,1,1,9,3,3,2,1,225,false
HighRoller,manager,6,1,2,0,0,0,1,1,1,9,3,3,2,1,375,true
Normal,manager,6,1,2,0,0,0,1,1,1,9,3,3,2,1,165,false
SafeBetter,investor,6,0,0,2,1,1,1,0,1,6,0,3,3,0,100,true
Normal,investor,6,0,0,2,1,1,1,0,1,6,0,3,3,0,100,true
Normal,investor,6,0,0,2,1,1,1,0,1,6,0,3,3,0,100,true
Crazy,manager,6,0,0,2,1,1,1,0,1,6,0,3,3,0,180,true
SafeBetter,manager,6,0,0,2,1,1,1,0,1,6,0,3,3,0,180,true
HighRoller,manager,6,0,0,2,1,1,1,0,1,6,0,3,3,0,180,true
HighRoller,investor,6,1,2,0,0,2,0,1,0,6,0,3,2,1,-10,false
HighRoller,investor,6,1,2,0,0,2,0,1,0,6,0,3,2,1,-10,false
Crazy,investor,6,1,2,0,0,2,0,1,0,6,0,3,2,1,120,true
Normal,manager,6,1,2,0,0,2,0,1,0,6,0,3,2,1,90,true
Crazy,manager,6,1,2,0,0,2,0,1,0,6,0,3,2,1,90,true
Crazy,manager,6,1,2,0,0,2,0,1,0,6,0,3,2,1,0,false
SafeBetter,investor,6,1,0,1,1,1,1,1,0,4,0,2,0,2,145,true
Crazy,investor,6,1,0,1,1,1,1,1,0,4,0,2,0,2,120,false
Normal,investor,6,1,0,1,1,1,1,1,0,4,0,2,0,2,60,false
Normal,manager,6,1,0,1,1,1,1,1,0,4,0,2,0,2,210,true
Crazy,manager,6,1,0,1,1,1,1,1,0,4,0,2,0,2,120,false
HighRoller,manager,6,1,0,1,1,1,1,1,0,4,0,2,0,2,195,false
HighRoller,investor,6,0,2,1,0,0,1,2,0,12,3,3,3,3,205,false
Normal,investor,6,0,2,1,0,0,1,2,0,12,3,3,3,3,445,true
HighRoller,investor,6,0,2,1,0,0,1,2,0,12,3,3,3,3,205,false
HighRoller,manager,6,0,2,1,0,0,1,2,0,12,3,3,3,3,345,true
Normal,manager,6,0,2,1,0,0,1,2,0,12,3,3,3,3,345,true
Normal,manager,6,0,2,1,0,0,1,2,0,12,3,3,3,3,255,false
SafeBetter,investor,6,0,0,1,2,1,1,0,1,0,0,0,0,0,205,false
SafeBetter,investor,6,0,0,1,2,1,1,0,1,0,0,0,0,0,265,true
Normal,investor,6,0,0,1,2,1,1,0,1,0,0,0,0,0,130,false
HighRoller,manager,6,0,0,1,2,1,1,0,1,0,0,0,0,0,300,true
SafeBetter,manager,6,0,0,1,2,1,1,0,1,0,0,0,0,0,0,false
Crazy,manager,6,0,0,1,2,1,1,0,1,0,0,0,0,0,0,false
HighRoller,investor,6,0,2,0,1,2,0,0,1,10,3,1,3,3,255,false
SafeBetter,investor,6,0,2,0,1,2,0,0,1,10,3,1,3,3,290,true
HighRoller,investor,6,0,2,0,1,2,0,0,1,10,3,1,3,3,255,false
SafeBetter,manager,6,0,2,0,1,2,0,0,1,10,3,1,3,3,405,true
Crazy,manager,6,0,2,0,1,2,0,0,1,10,3,1,3,3,280,false
Crazy,manager,6,0,2,0,1,2,0,0,1,10,3,1,3,3,405,true
Normal,investor,6,0,0,2,1,1,0,0,2,9,3,2,3,1,435,false
Normal,investor,6,0,0,2,1,1,0,0,2,9,3,2,3,1,355,false
SafeBetter,investor,6,0,0,2,1,1,0,0,2,9,3,2,3,1,455,true
SafeBetter,manager,6,0,0,2,1,1,0,0,2,9,3,2,3,1,495,false
SafeBetter,manager,6,0,0,2,1,1,0,0,2,9,3,2,3,1,645,true
Crazy,manager,6,0,0,2,1,1,0,0,2,9,3,2,3,1,535,false
Crazy,investor,6,2,0,1,0,1,0,2,0,5,0,1,2,2,120,true
Normal,investor,6,2,0,1,0,1,0,2,0,5,0,1,2,2,60,false
Crazy,investor,6,2,0,1,0,1,0,2,0,5,0,1,2,2,100,false
Normal,manager,6,2,0,1,0,1,0,2,0,5,0,1,2,2,285,true
Crazy,manager,6,2,0,1,0,1,0,2,0,5,0,1,2,2,210,false
Normal,manager,6,2,0,1,0,1,0,2,0,5,0,1,2,2,285,true
HighRoller,investor,6,0,2,0,1,1,1,1,0,4,1,2,0,1,140,false
HighRoller,investor,6,0,2,0,1,1,1,1,0,4,1,2,0,1,130,false
SafeBetter,investor,6,0,2,0,1,1,1,1,0,4,1,2,0,1,670,true
Crazy,manager,6,0,2,0,1,1,1,1,0,4,1,2,0,1,260,false
HighRoller,manager,6,0,2,0,1,1,1,1,0,4,1,2,0,1,560,true
Normal,manager,6,0,2,0,1,1,1,1,0,4,1,2,0,1,260,false
Normal,investor,6,0,1,1,1,0,0,3,0,10,3,3,2,2,305,false
SafeBetter,investor,6,0,1,1,1,0,0,3,0,10,3,3,2,2,490,true
HighRoller,investor,6,0,1,1,1,0,0,3,0,10,3,3,2,2,105,false
Normal,manager,6,0,1,1,1,0,0,3,0,10,3,3,2,2,570,true
Normal,manager,6,0,1,1,1,0,0,3,0,10,3,3,2,2,505,false
Normal,manager,6,0,1,1,1,0,0,3,0,10,3,3,2,2,285,false
Crazy,investor,6,1,0,0,2,0,2,0,1,5,0,0,2,3,130,false
SafeBetter,investor,6,1,0,0,2,0,2,0,1,5,0,0,2,3,255,true
SafeBetter,investor,6,1,0,0,2,0,2,0,1,5,0,0,2,3,180,false
HighRoller,manager,6,1,0,0,2,0,2,0,1,5,0,0,2,3,315,true
SafeBetter,manager,6,1,0,0,2,0,2,0,1,5,0,0,2,3,240,false
HighRoller,manager,6,1,0,0,2,0,2,0,1,5,0,0,2,3,240,false
Crazy,investor,6,1,2,0,0,0,0,2,1,3,0,1,0,2,400,false
HighRoller,investor,6,1,2,0,0,0,0,2,1,3,0,1,0,2,585,false
HighRoller,investor,6,1,2,0,0,0,0,2,1,3,0,1,0,2,815,true
SafeBetter,manager,6,1,2,0,0,0,0,2,1,3,0,1,0,2,240,false
Normal,manager,6,1,2,0,0,0,0,2,1,3,0,1,0,2,315,false
Normal,manager,6,1,2,0,0,0,0,2,1,3,0,1,0,2,465,true
HighRoller,investor,6,0,1,2,0,2,1,0,0,5,1,3,0,1,-5,false
Normal,investor,6,0,1,2,0,2,1,0,0,5,1,3,0,1,175,true
Normal,investor,6,0,1,2,0,2,1,0,0,5,1,3,0,1,145,false
Crazy,manager,6,0,1,2,0,2,1,0,0,5,1,3,0,1,270,false
HighRoller,manager,6,0,1,2,0,2,1,0,0,5,1,3,0,1,495,true
Crazy,manager,6,0,1,2,0,2,1,0,0,5,1,3,0,1,270,false
HighRoller,investor,6,1,1,0,1,2,0,1,0,6,1,3,1,1,-40,false
Crazy,investor,6,1,1,0,1,2,0,1,0,6,1,3,1,1,-40,false
SafeBetter,investor,6,1,1,0,1,2,0,1,0,6,1,3,1,1,475,true
Crazy,manager,6,1,1,0,1,2,0,1,0,6,1,3,1,1,90,false
Normal,manager,6,1,1,0,1,2,0,1,0,6,1,3,1,1,230,false
Crazy,manager,6,1,1,0,1,2,0,1,0,6,1,3,1,1,395,true
Crazy,investor,6,3,0,0,0,1,1,1,0,8,2,2,2,2,150,false
Crazy,investor,6,3,0,0,0,1,1,1,0,8,2,2,2,2,250,false
Crazy,investor,6,3,0,0,0,1,1,1,0,8,2,2,2,2,650,true
Crazy,manager,6,3,0,0,0,1,1,1,0,8,2,2,2,2,550,true
Normal,manager,6,3,0,0,0,1,1,1,0,8,2,2,2,2,550,true
HighRoller,manager,6,3,0,0,0,1,1,1,0,8,2,2,2,2,340,false
Normal,investor,6,1,1,1,0,0,1,1,1,8,2,3,2,1,610,false
HighRoller,investor,6,1,1,1,0,0,1,1,1,8,2,3,2,1,-20,false
Crazy,investor,6,1,1,1,0,0,1,1,1,8,2,3,2,1,740,true
HighRoller,manager,6,1,1,1,0,0,1,1,1,8,2,3,2,1,820,true
SafeBetter,manager,6,1,1,1,0,0,1,1,1,8,2,3,2,1,520,false
Normal,manager,6,1,1,1,0,0,1,1,1,8,2,3,2,1,520,false
HighRoller,investor,6,0,3,0,0,0,1,2,0,10,3,1,3,3,90,true
HighRoller,investor,6,0,3,0,0,0,1,2,0,10,3,1,3,3,90,true
HighRoller,investor,6,0,3,0,0,0,1,2,0,10,3,1,3,3,90,true
Normal,manager,6,0,3,0,0,0,1,2,0,10,3,1,3,3,330,true
Normal,manager,6,0,3,0,0,0,1,2,0,10,3,1,3,3,330,true
HighRoller,manager,6,0,3,0,0,0,1,2,0,10,3,1,3,3,330,true
Normal,investor,6,1,0,1,1,2,0,0,1,5,1,1,1,2,380,true
SafeBetter,investor,6,1,0,1,1,2,0,0,1,5,1,1,1,2,125,false
Crazy,investor,6,1,0,1,1,2,0,0,1,5,1,1,1,2,120,false
SafeBetter,manager,6,1,0,1,1,2,0,0,1,5,1,1,1,2,335,false
Crazy,manager,6,1,0,1,1,2,0,0,1,5,1,1,1,2,185,false
Crazy,manager,6,1,0,1,1,2,0,0,1,5,1,1,1,2,365,true
SafeBetter,investor,6,0,1,0,2,1,0,1,1,8,1,2,2,3,135,true
SafeBetter,investor,6,0,1,0,2,1,0,1,1,8,1,2,2,3,130,false
HighRoller,investor,6,0,1,0,2,1,0,1,1,8,1,2,2,3,15,false
SafeBetter,manager,6,0,1,0,2,1,0,1,1,8,1,2,2,3,275,false
Normal,manager,6,0,1,0,2,1,0,1,1,8,1,2,2,3,245,false
Crazy,manager,6,0,1,0,2,1,0,1,1,8,1,2,2,3,320,true
SafeBetter,investor,6,0,0,2,1,0,0,1,2,5,2,0,2,1,155,true
Normal,investor,6,0,0,2,1,0,0,1,2,5,2,0,2,1,50,false
Normal,investor,6,0,0,2,1,0,0,1,2,5,2,0,2,1,50,false
SafeBetter,manager,6,0,0,2,1,0,0,1,2,5,2,0,2,1,340,true
SafeBetter,manager,6,0,0,2,1,0,0,1,2,5,2,0,2,1,340,true
Normal,manager,6,0,0,2,1,0,0,1,2,5,2,0,2,1,175,false
Normal,investor,6,0,0,1,2,1,0,1,1,4,1,1,0,2,90,false
SafeBetter,investor,6,0,0,1,2,1,0,1,1,4,1,1,0,2,285,true
SafeBetter,investor,6,0,0,1,2,1,0,1,1,4,1,1,0,2,195,false
Normal,manager,6,0,0,1,2,1,0,1,1,4,1,1,0,2,200,false
SafeBetter,manager,6,0,0,1,2,1,0,1,1,4,1,1,0,2,290,false
Crazy,manager,6,0,0,1,2,1,0,1,1,4,1,1,0,2,500,true
Normal,investor,6,0,0,1,2,1,2,0,0,5,1,3,1,0,90,false
SafeBetter,investor,6,0,0,1,2,1,2,0,0,5,1,3,1,0,120,false
SafeBetter,investor,6,0,0,1,2,1,2,0,0,5,1,3,1,0,160,true
Crazy,manager,6,0,0,1,2,1,2,0,0,5,1,3,1,0,230,true
HighRoller,manager,6,0,0,1,2,1,2,0,0,5,1,3,1,0,230,true
HighRoller,manager,6,0,0,1,2,1,2,0,0,5,1,3,1,0,110,false
Crazy,investor,6,1,0,1,1,1,1,0,1,5,3,0,1,1,280,true
SafeBetter,investor,6,1,0,1,1,1,1,0,1,5,3,0,1,1,125,false
Normal,investor,6,1,0,1,1,1,1,0,1,5,3,0,1,1,95,false
HighRoller,manager,6,1,0,1,1,1,1,0,1,5,3,0,1,1,150,false
Crazy,manager,6,1,0,1,1,1,1,0,1,5,3,0,1,1,315,true
SafeBetter,manager,6,1,0,1,1,1,1,0,1,5,3,0,1,1,225,false
HighRoller,investor,6,1,2,0,0,2,1,0,0,4,1,3,0,0,295,false
HighRoller,investor,6,1,2,0,0,2,1,0,0,4,1,3,0,0,345,true
Crazy,investor,6,1,2,0,0,2,1,0,0,4,1,3,0,0,320,false
Crazy,manager,6,1,2,0,0,2,1,0,0,4,1,3,0,0,230,false
Crazy,manager,6,1,2,0,0,2,1,0,0,4,1,3,0,0,230,false
HighRoller,manager,6,1,2,0,0,2,1,0,0,4,1,3,0,0,530,true
Crazy,investor,6,2,0,1,0,3,0,0,0,7,2,0,3,2,220,false
Normal,investor,6,2,0,1,0,3,0,0,0,7,2,0,3,2,585,true
Crazy,investor,6,2,0,1,0,3,0,0,0,7,2,0,3,2,120,false
Crazy,manager,6,2,0,1,0,3,0,0,0,7,2,0,3,2,175,false
Crazy,manager,6,2,0,1,0,3,0,0,0,7,2,0,3,2,325,false
Crazy,manager,6,2,0,1,0,3,0,0,0,7,2,0,3,2,475,true
SafeBetter,investor,6,0,1,0,2,0,2,1,0,5,1,2,0,2,295,true
HighRoller,investor,6,0,1,0,2,0,2,1,0,5,1,2,0,2,10,false
SafeBetter,investor,6,0,1,0,2,0,2,1,0,5,1,2,0,2,235,false
HighRoller,manager,6,0,1,0,2,0,2,1,0,5,1,2,0,2,425,true
HighRoller,manager,6,0,1,0,2,0,2,1,0,5,1,2,0,2,395,false
Normal,manager,6,0,1,0,2,0,2,1,0,5,1,2,0,2,350,false
HighRoller,investor,6,0,2,0,1,1,1,1,0,4,0,0,3,1,20,true
HighRoller,investor,6,0,2,0,1,1,1,1,0,4,0,0,3,1,-45,false
SafeBetter,investor,6,0,2,0,1,1,1,1,0,4,0,0,3,1,15,false
HighRoller,manager,6,0,2,0,1,1,1,1,0,4,0,0,3,1,165,false
Normal,manager,6,0,2,0,1,1,1,1,0,4,0,0,3,1,315,true
Crazy,manager,6,0,2,0,1,1,1,1,0,4,0,0,3,1,240,false
SafeBetter,investor,6,0,1,0,2,0,1,2,0,4,0,3,1,0,190,false
SafeBetter,investor,6,0,1,0,2,0,1,2,0,4,0,3,1,0,170,false
HighRoller,investor,6,0,1,0,2,0,1,2,0,4,0,3,1,0,575,true
Normal,manager,6,0,1,0,2,0,1,2,0,4,0,3,1,0,255,false
HighRoller,manager,6,0,1,0,2,0,1,2,0,4,0,3,1,0,555,true
Normal,manager,6,0,1,0,2,0,1,2,0,4,0,3,1,0,255,false
SafeBetter,investor,6,0,0,2,1,0,1,0,2,9,2,3,1,3,405,false
Normal,investor,6,0,0,2,1,0,1,0,2,9,2,3,1,3,425,true
Normal,investor,6,0,0,2,1,0,1,0,2,9,2,3,1,3,425,true
SafeBetter,manager,6,0,0,2,1,0,1,0,2,9,2,3,1,3,625,true
SafeBetter,manager,6,0,0,2,1,0,1,0,2,9,2,3,1,3,625,true
HighRoller,manager,6,0,0,2,1,0,1,0,2,9,2,3,1,3,505,false
Normal,investor,6,0,0,3,0,0,1,0,2,5,3,0,0,2,425,false
Normal,investor,6,0,0,3,0,0,1,0,2,5,3,0,0,2,425,false
Normal,investor,6,0,0,3,0,0,1,0,2,5,3,0,0,2,480,true
SafeBetter,manager,6,0,0,3,0,0,1,0,2,5,3,0,0,2,180,false
SafeBetter,manager,6,0,0,3,0,0,1,0,2,5,3,0,0,2,180,false
HighRoller,manager,6,0,0,3,0,0,1,0,2,5,3,0,0,2,480,true
SafeBetter,investor,6,0,1,0,2,0,0,3,0,4,0,3,1,0,535,true
SafeBetter,investor,6,0,1,0,2,0,0,3,0,4,0,3,1,0,530,false
HighRoller,investor,6,0,1,0,2,0,0,3,0,4,0,3,1,0,240,false
Normal,manager,6,0,1,0,2,0,0,3,0,4,0,3,1,0,255,false
Normal,manager,6,0,1,0,2,0,0,3,0,4,0,3,1,0,405,true
Normal,manager,6,0,1,0,2,0,0,3,0,4,0,3,1,0,405,true
Crazy,investor,6,1,0,0,2,1,0,1,1,8,1,2,2,3,60,true
SafeBetter,investor,6,1,0,0,2,1,0,1,1,8,1,2,2,3,60,true
SafeBetter,investor,6,1,0,0,2,1,0,1,1,8,1,2,2,3,60,true
Normal,manager,6,1,0,0,2,1,0,1,1,8,1,2,2,3,170,true
SafeBetter,manager,6,1,0,0,2,1,0,1,1,8,1,2,2,3,170,true
Crazy,manager,6,1,0,0,2,1,0,1,1,8,1,2,2,3,170,true
HighRoller,investor,6,0,2,1,0,1,0,1,1,6,3,1,1,1,40,false
HighRoller,investor,6,0,2,1,0,1,0,1,1,6,3,1,1,1,280,true
Normal,investor,6,0,2,1,0,1,0,1,1,6,3,1,1,1,275,false
Crazy,manager,6,0,2,1,0,1,0,1,1,6,3,1,1,1,225,false
SafeBetter,manager,6,0,2,1,0,1,0,1,1,6,3,1,1,1,225,false
Normal,manager,6,0,2,1,0,1,0,1,1,6,3,1,1,1,525,true
HighRoller,investor,6,0,1,2,0,2,0,0,1,4,1,3,0,0,10,true
Normal,investor,6,0,1,2,0,2,0,0,1,4,1,3,0,0,10,true
Normal,investor,6,0,1,2,0,2,0,0,1,4,1,3,0,0,10,true
SafeBetter,manager,6,0,1,2,0,2,0,0,1,4,1,3,0,0,180,true
Crazy,manager,6,0,1,2,0,2,0,0,1,4,1,3,0,0,180,true
Crazy,manager,6,0,1,2,0,2,0,0,1,4,1,3,0,0,180,true
SafeBetter,investor,6,1,1,0,1,0,0,2,1,5,1,1,2,1,310,false
HighRoller,investor,6,1,1,0,1,0,0,2,1,5,1,1,2,1,385,true
Crazy,investor,6,1,1,0,1,0,0,2,1,5,1,1,2,1,240,false
Normal,manager,6,1,1,0,1,0,0,2,1,5,1,1,2,1,425,true
SafeBetter,manager,6,1,1,0,1,0,0,2,1,5,1,1,2,1,260,false
Normal,manager,6,1,1,0,1,0,0,2,1,5,1,1,2,1,350,false
SafeBetter,investor,6,1,0,1,1,0,3,0,0,4,0,2,0,2,200,true
Crazy,investor,6,1,0,1,1,0,3,0,0,4,0,2,0,2,135,false
Normal,investor,6,1,0,1,1,0,3,0,0,4,0,2,0,2,125,false
HighRoller,manager,6,1,0,1,1,0,3,0,0,4,0,2,0,2,510,true
HighRoller,manager,6,1,0,1,1,0,3,0,0,4,0,2,0,2,120,false
HighRoller,manager,6,1,0,1,1,0,3,0,0,4,0,2,0,2,210,false
SafeBetter,investor,6,0,0,1,2,1,1,0,1,7,1,3,2,1,355,true
SafeBetter,investor,6,0,0,1,2,1,1,0,1,7,1,3,2,1,260,false
Normal,investor,6,0,0,1,2,1,1,0,1,7,1,3,2,1,320,false
HighRoller,manager,6,0,0,1,2,1,1,0,1,7,1,3,2,1,455,false
SafeBetter,manager,6,0,0,1,2,1,1,0,1,7,1,3,2,1,470,true
Crazy,manager,6,0,0,1,2,1,1,0,1,7,1,3,2,1,380,false
Normal,investor,6,1,1,1,0,1,1,1,0,6,0,1,2,3,400,false
Crazy,investor,6,1,1,1,0,1,1,1,0,6,0,1,2,3,635,true
HighRoller,investor,6,1,1,1,0,1,1,1,0,6,0,1,2,3,185,false
Normal,manager,6,1,1,1,0,1,1,1,0,6,0,1,2,3,300,false
Crazy,manager,6,1,1,1,0,1,1,1,0,6,0,1,2,3,390,false
HighRoller,manager,6,1,1,1,0,1,1,1,0,6,0,1,2,3,690,true
Crazy,investor,6,1,0,0,2,2,0,1,0,2,0,1,0,1,105,false
SafeBetter,investor,6,1,0,0,2,2,0,1,0,2,0,1,0,1,155,false
SafeBetter,investor,6,1,0,0,2,2,0,1,0,2,0,1,0,1,165,true
Crazy,manager,6,1,0,0,2,2,0,1,0,2,0,1,0,1,150,false
Normal,manager,6,1,0,0,2,2,0,1,0,2,0,1,0,1,375,true
Crazy,manager,6,1,0,0,2,2,0,1,0,2,0,1,0,1,60,false
Crazy,investor,6,1,0,1,1,0,2,1,0,6,3,1,2,0,270,false
Normal,investor,6,1,0,1,1,0,2,1,0,6,3,1,2,0,170,false
SafeBetter,investor,6,1,0,1,1,0,2,1,0,6,3,1,2,0,305,true
HighRoller,manager,6,1,0,1,1,0,2,1,0,6,3,1,2,0,285,false
Normal,manager,6,1,0,1,1,0,2,1,0,6,3,1,2,0,360,true
HighRoller,manager,6,1,0,1,1,0,2,1,0,6,3,1,2,0,360,true
HighRoller,investor,6,0,1,1,1,1,0,2,0,7,2,2,3,0,475,false
Normal,investor,6,0,1,1,1,1,0,2,0,7,2,2,3,0,505,false
SafeBetter,investor,6,0,1,1,1,1,0,2,0,7,2,2,3,0,585,true
Normal,manager,6,0,1,1,1,1,0,2,0,7,2,2,3,0,745,true
Normal,manager,6,0,1,1,1,1,0,2,0,7,2,2,3,0,445,false
Crazy,manager,6,0,1,1,1,1,0,2,0,7,2,2,3,0,445,false
SafeBetter,investor,6,0,0,2,1,1,1,0,1,3,1,0,2,0,95,true
Normal,investor,6,0,0,2,1,1,1,0,1,3,1,0,2,0,5,false
Normal,investor,6,0,0,2,1,1,1,0,1,3,1,0,2,0,5,false
SafeBetter,manager,6,0,0,2,1,1,1,0,1,3,1,0,2,0,200,true
Crazy,manager,6,0,0,2,1,1,1,0,1,3,1,0,2,0,125,false
HighRoller,manager,6,0,0,2,1,1,1,0,1,3,1,0,2,0,200,true
HighRoller,investor,6,0,2,0,1,0,1,1,1,7,3,1,0,3,-40,false
SafeBetter,investor,6,0,2,0,1,0,1,1,1,7,3,1,0,3,370,true
HighRoller,investor,6,0,2,0,1,0,1,1,1,7,3,1,0,3,-40,false
HighRoller,manager,6,0,2,0,1,0,1,1,1,7,3,1,0,3,300,true
Normal,manager,6,0,2,0,1,0,1,1,1,7,3,1,0,3,240,false
SafeBetter,manager,6,0,2,0,1,0,1,1,1,7,3,1,0,3,210,false
Normal,investor,6,1,1,1,0,0,1,1,1,3,1,0,2,0,135,false
HighRoller,investor,6,1,1,1,0,0,1,1,1,3,1,0,2,0,135,false
Crazy,investor,6,1,1,1,0,0,1,1,1,3,1,0,2,0,390,true
SafeBetter,manager,6,1,1,1,0,0,1,1,1,3,1,0,2,0,200,false
HighRoller,manager,6,1,1,1,0,0,1,1,1,3,1,0,2,0,500,true
Normal,manager,6,1,1,1,0,0,1,1,1,3,1,0,2,0,200,false
HighRoller,investor,6,0,2,1,0,0,2,0,1,1,0,1,0,0,220,true
Normal,investor,6,0,2,1,0,0,2,0,1,1,0,1,0,0,130,false
HighRoller,investor,6,0,2,1,0,0,2,0,1,1,0,1,0,0,120,false
SafeBetter,manager,6,0,2,1,0,0,2,0,1,1,0,1,0,0,60,false
HighRoller,manager,6,0,2,1,0,0,2,0,1,1,0,1,0,0,210,true
HighRoller,manager,6,0,2,1,0,0,2,0,1,1,0,1,0,0,210,true
SafeBetter,investor,6,1,0,0,2,1,2,0,0,7,2,0,2,3,340,true
SafeBetter,investor,6,1,0,0,2,1,2,0,0,7,2,0,2,3,150,false
Crazy,investor,6,1,0,0,2,1,2,0,0,7,2,0,2,3,150,false
Crazy,manager,6,1,0,0,2,1,2,0,0,7,2,0,2,3,430,true
HighRoller,manager,6,1,0,0,2,1,2,0,0,7,2,0,2,3,430,true
HighRoller,manager,6,1,0,0,2,1,2,0,0,7,2,0,2,3,400,false
Normal,investor,6,1,0,1,1,1,0,0,2,9,3,1,2,3,320,true
SafeBetter,investor,6,1,0,1,1,1,0,0,2,9,3,1,2,3,190,false
Crazy,investor,6,1,0,1,1,1,0,0,2,9,3,1,2,3,120,false
Crazy,manager,6,1,0,1,1,1,0,0,2,9,3,1,2,3,160,false
SafeBetter,manager,6,1,0,1,1,1,0,0,2,9,3,1,2,3,360,true
SafeBetter,manager,6,1,0,1,1,1,0,0,2,9,3,1,2,3,310,false
Crazy,investor,6,1,1,1,0,1,0,1,1,7,2,3,2,0,120,true
Normal,investor,6,1,1,1,0,1,0,1,1,7,2,3,2,0,100,false
HighRoller,investor,6,1,1,1,0,1,0,1,1,7,2,3,2,0,110,false
Crazy,manager,6,1,1,1,0,1,0,1,1,7,2,3,2,0,330,true
Normal,manager,6,1,1,1,0,1,0,1,1,7,2,3,2,0,330,true
SafeBetter,manager,6,1,1,1,0,1,0,1,1,7,2,3,2,0,330,true
SafeBetter,investor,6,1,0,1,1,1,1,0,1,5,0,3,1,1,50,true
Crazy,investor,6,1,0,1,1,1,1,0,1,5,0,3,1,1,50,true
Normal,investor,6,1,0,1,1,1,1,0,1,5,0,3,1,1,50,true
SafeBetter,manager,6,1,0,1,1,1,1,0,1,5,0,3,1,1,120,true
HighRoller,manager,6,1,0,1,1,1,1,0,1,5,0,3,1,1,120,true
Crazy,manager,6,1,0,1,1,1,1,0,1,5,0,3,1,1,120,true
HighRoller,investor,6,0,1,1,1,1,0,0,2,4,0,1,2,1,95,false
Normal,investor,6,0,1,1,1,1,0,0,2,4,0,1,2,1,135,false
SafeBetter,investor,6,0,1,1,1,1,0,0,2,4,0,1,2,1,180,true
Crazy,manager,6,0,1,1,1,1,0,0,2,4,0,1,2,1,210,false
SafeBetter,manager,6,0,1,1,1,1,0,0,2,4,0,1,2,1,60,false
SafeBetter,manager,6,0,1,1,1,1,0,0,2,4,0,1,2,1,300,true
Normal,investor,6,1,0,1,1,1,1,1,0,5,2,0,3,0,355,true
SafeBetter,investor,6,1,0,1,1,1,1,1,0,5,2,0,3,0,355,true
Crazy,investor,6,1,0,1,1,1,1,1,0,5,2,0,3,0,120,false
Crazy,manager,6,1,0,1,1,1,1,1,0,5,2,0,3,0,325,false
HighRoller,manager,6,1,0,1,1,1,1,1,0,5,2,0,3,0,400,true
Normal,manager,6,1,0,1,1,1,1,1,0,5,2,0,3,0,325,false
Normal,investor,6,0,1,1,1,1,0,1,1,5,0,3,2,0,10,false
HighRoller,investor,6,0,1,1,1,1,0,1,1,5,0,3,2,0,15,true
SafeBetter,investor,6,0,1,1,1,1,0,1,1,5,0,3,2,0,10,false
Crazy,manager,6,0,1,1,1,1,0,1,1,5,0,3,2,0,120,true
Normal,manager,6,0,1,1,1,1,0,1,1,5,0,3,2,0,75,false
SafeBetter,manager,6,0,1,1,1,1,0,1,1,5,0,3,2,0,120,true
SafeBetter,investor,6,0,0,2,1,2,0,1,0,8,3,0,2,3,215,false
Normal,investor,6,0,0,2,1,2,0,1,0,8,3,0,2,3,240,true
Normal,investor,6,0,0,2,1,2,0,1,0,8,3,0,2,3,225,false
Crazy,manager,6,0,0,2,1,2,0,1,0,8,3,0,2,3,420,false
Crazy,manager,6,0,0,2,1,2,0,1,0,8,3,0,2,3,390,false
Normal,manager,6,0,0,2,1,2,0,1,0,8,3,0,2,3,450,true
Crazy,investor,6,2,0,0,1,1,1,0,1,4,0,3,0,1,360,true
Crazy,investor,6,2,0,0,1,1,1,0,1,4,0,3,0,1,140,false
SafeBetter,investor,6,2,0,0,1,1,1,0,1,4,0,3,0,1,330,false
SafeBetter,manager,6,2,0,0,1,1,1,0,1,4,0,3,0,1,270,false
HighRoller,manager,6,2,0,0,1,1,1,0,1,4,0,3,0,1,570,true
